FECHA,MONEDA_LOCAL,TASA_DE_CAMBIO,MONEDA_EXTRANJERA,TIPO
9/1/2021,Cordoba,35.2885,Dolar,1
9/2/2021,Cordoba,35.2904,Dolar,1
9/3/2021,Cordoba,35.2924,Dolar,1
9/4/2021,Cordoba,35.2943,Dolar,1
9/5/2021,Cordoba,35.2962,Dolar,1
9/6/2021,Cordoba,35.2981,Dolar,1
9/7/2021,Cordoba,35.3,Dolar,1
9/8/2021,Cordoba,35.3019,Dolar,1
9/9/2021,Cordoba,35.3038,Dolar,1
9/10/2021,Cordoba,35.3058,Dolar,1
9/11/2021,Cordoba,35.3077,Dolar,1
9/12/2021,Cordoba,35.3096,Dolar,1
9/13/2021,Cordoba,35.3115,Dolar,1
9/14/2021,Cordoba,35.3134,Dolar,1
9/15/2021,Cordoba,35.3153,Dolar,1
9/16/2021,Cordoba,35.3173,Dolar,1
9/17/2021,Cordoba,35.3192,Dolar,1
9/18/2021,Cordoba,35.3211,Dolar,1
9/19/2021,Cordoba,35.323,Dolar,1
9/20/2021,Cordoba,35.3249,Dolar,1
9/21/2021,Cordoba,35.3268,Dolar,1
9/22/2021,Cordoba,35.3288,Dolar,1
9/23/2021,Cordoba,35.3307,Dolar,1
9/24/2021,Cordoba,35.3326,Dolar,1
9/25/2021,Cordoba,35.3345,Dolar,1
9/26/2021,Cordoba,35.3364,Dolar,1
9/27/2021,Cordoba,35.3383,Dolar,1
9/28/2021,Cordoba,35.3403,Dolar,1
9/29/2021,Cordoba,35.3422,Dolar,1
9/30/2021,Cordoba,35.3441,Dolar,1
