FECHA,MONEDA_LOCAL,TASA_DE_CAMBIO,MONEDA_EXTRANJERA,TIPO
04/01/2019,Cordoba,32.7261,Dolar,1
04/02/2019,Cordoba,32.7305,Dolar,1
04/03/2019,Cordoba,32.7349,Dolar,1
04/04/2019,Cordoba,32.7393,Dolar,1
04/05/2019,Cordoba,32.7436,Dolar,1
04/06/2019,Cordoba,32.748,Dolar,1
04/07/2019,Cordoba,32.7524,Dolar,1
04/08/2019,Cordoba,32.7568,Dolar,1
04/09/2019,Cordoba,32.7612,Dolar,1
04/10/2019,Cordoba,32.7655,Dolar,1
04/11/2019,Cordoba,32.7699,Dolar,1
04/12/2019,Cordoba,32.7743,Dolar,1
04/13/2019,Cordoba,32.7787,Dolar,1
04/14/2019,Cordoba,32.7831,Dolar,1
04/15/2019,Cordoba,32.7874,Dolar,1
04/16/2019,Cordoba,32.7918,Dolar,1
04/17/2019,Cordoba,32.7962,Dolar,1
04/18/2019,Cordoba,32.8006,Dolar,1
04/19/2019,Cordoba,32.805,Dolar,1
04/20/2019,Cordoba,32.8094,Dolar,1
04/21/2019,Cordoba,32.8138,Dolar,1
04/22/2019,Cordoba,32.8181,Dolar,1
04/23/2019,Cordoba,32.8225,Dolar,1
04/24/2019,Cordoba,32.8269,Dolar,1
04/25/2019,Cordoba,32.8313,Dolar,1
04/26/2019,Cordoba,32.8357,Dolar,1
04/27/2019,Cordoba,32.8401,Dolar,1
04/28/2019,Cordoba,32.8445,Dolar,1
04/29/2019,Cordoba,32.8489,Dolar,1
04/30/2019,Cordoba,32.8533,Dolar,1
