FECHA,MONEDA_LOCAL,TASA_DE_CAMBIO,MONEDA_EXTRANJERA,TIPO
11/1/2021,Cordoba,35.4055,Dolar,1
11/2/2021,Cordoba,35.4074,Dolar,1
11/3/2021,Cordoba,35.4094,Dolar,1
11/4/2021,Cordoba,35.4113,Dolar,1
11/5/2021,Cordoba,35.4132,Dolar,1
11/6/2021,Cordoba,35.4151,Dolar,1
11/7/2021,Cordoba,35.417,Dolar,1
11/8/2021,Cordoba,35.419,Dolar,1
11/9/2021,Cordoba,35.4209,Dolar,1
11/10/2021,Cordoba,35.4228,Dolar,1
11/11/2021,Cordoba,35.4247,Dolar,1
11/12/2021,Cordoba,35.4266,Dolar,1
11/13/2021,Cordoba,35.4286,Dolar,1
11/14/2021,Cordoba,35.4305,Dolar,1
11/15/2021,Cordoba,35.4324,Dolar,1
11/16/2021,Cordoba,35.4343,Dolar,1
11/17/2021,Cordoba,35.4363,Dolar,1
11/18/2021,Cordoba,35.4382,Dolar,1
11/19/2021,Cordoba,35.4401,Dolar,1
11/20/2021,Cordoba,35.442,Dolar,1
11/21/2021,Cordoba,35.4439,Dolar,1
11/22/2021,Cordoba,35.4459,Dolar,1
11/23/2021,Cordoba,35.4478,Dolar,1
11/24/2021,Cordoba,35.4497,Dolar,1
11/25/2021,Cordoba,35.4516,Dolar,1
11/26/2021,Cordoba,35.4536,Dolar,1
11/27/2021,Cordoba,35.4555,Dolar,1
11/28/2021,Cordoba,35.4574,Dolar,1
11/29/2021,Cordoba,35.4593,Dolar,1
11/30/2021,Cordoba,35.4613,Dolar,1
