FECHA,MONEDA_LOCAL,TASA_DE_CAMBIO,MONEDA_EXTRANJERA,TIPO
12/01/2018,Cordoba,32.2011,Dolar,1
12/02/2018,Cordoba,32.2054,Dolar,1
12/03/2018,Cordoba,32.2097,Dolar,1
12/04/2018,Cordoba,32.214,Dolar,1
12/05/2018,Cordoba,32.2183,Dolar,1
12/06/2018,Cordoba,32.2226,Dolar,1
12/07/2018,Cordoba,32.2269,Dolar,1
12/08/2018,Cordoba,32.2312,Dolar,1
12/09/2018,Cordoba,32.2355,Dolar,1
12/10/2018,Cordoba,32.2398,Dolar,1
12/11/2018,Cordoba,32.2442,Dolar,1
12/12/2018,Cordoba,32.2485,Dolar,1
12/13/2018,Cordoba,32.2528,Dolar,1
12/14/2018,Cordoba,32.2571,Dolar,1
12/15/2018,Cordoba,32.2614,Dolar,1
12/16/2018,Cordoba,32.2657,Dolar,1
12/17/2018,Cordoba,32.27,Dolar,1
12/18/2018,Cordoba,32.2743,Dolar,1
12/19/2018,Cordoba,32.2787,Dolar,1
12/20/2018,Cordoba,32.283,Dolar,1
12/21/2018,Cordoba,32.2873,Dolar,1
12/22/2018,Cordoba,32.2916,Dolar,1
12/23/2018,Cordoba,32.2959,Dolar,1
12/24/2018,Cordoba,32.3002,Dolar,1
12/25/2018,Cordoba,32.3046,Dolar,1
12/26/2018,Cordoba,32.3089,Dolar,1
12/27/2018,Cordoba,32.3132,Dolar,1
12/28/2018,Cordoba,32.3175,Dolar,1
12/29/2018,Cordoba,32.3218,Dolar,1
12/30/2018,Cordoba,32.3261,Dolar,1
12/31/2018,Cordoba,32.3305,Dolar,1
