FECHA,MONEDA_LOCAL,TASA_DE_CAMBIO,MONEDA_EXTRANJERA,TIPO
03/01/2019,Cordoba,32.5908,Dolar,1
03/02/2019,Cordoba,32.5952,Dolar,1
03/03/2019,Cordoba,32.5995,Dolar,1
03/04/2019,Cordoba,32.6039,Dolar,1
03/05/2019,Cordoba,32.6082,Dolar,1
03/06/2019,Cordoba,32.6126,Dolar,1
03/07/2019,Cordoba,32.617,Dolar,1
03/08/2019,Cordoba,32.6213,Dolar,1
03/09/2019,Cordoba,32.6257,Dolar,1
03/10/2019,Cordoba,32.63,Dolar,1
03/11/2019,Cordoba,32.6344,Dolar,1
03/12/2019,Cordoba,32.6388,Dolar,1
03/13/2019,Cordoba,32.6431,Dolar,1
03/14/2019,Cordoba,32.6475,Dolar,1
03/15/2019,Cordoba,32.6519,Dolar,1
03/16/2019,Cordoba,32.6562,Dolar,1
03/17/2019,Cordoba,32.6606,Dolar,1
03/18/2019,Cordoba,32.665,Dolar,1
03/19/2019,Cordoba,32.6693,Dolar,1
03/20/2019,Cordoba,32.6737,Dolar,1
03/21/2019,Cordoba,32.6781,Dolar,1
03/22/2019,Cordoba,32.6824,Dolar,1
03/23/2019,Cordoba,32.6868,Dolar,1
03/24/2019,Cordoba,32.6912,Dolar,1
03/25/2019,Cordoba,32.6955,Dolar,1
03/26/2019,Cordoba,32.6999,Dolar,1
03/27/2019,Cordoba,32.7043,Dolar,1
03/28/2019,Cordoba,32.7087,Dolar,1
03/29/2019,Cordoba,32.713,Dolar,1
03/30/2019,Cordoba,32.7174,Dolar,1
03/31/2019,Cordoba,32.7218,Dolar,1
