FECHA,MONEDA_LOCAL,TASA_DE_CAMBIO,MONEDA_EXTRANJERA,TIPO
11/01/2018,Cordoba,32.0722,Dolar,1
11/02/2018,Cordoba,32.0765,Dolar,1
11/03/2018,Cordoba,32.0808,Dolar,1
11/04/2018,Cordoba,32.0851,Dolar,1
11/05/2018,Cordoba,32.0894,Dolar,1
11/06/2018,Cordoba,32.0937,Dolar,1
11/07/2018,Cordoba,32.0979,Dolar,1
11/08/2018,Cordoba,32.1022,Dolar,1
11/09/2018,Cordoba,32.1065,Dolar,1
11/10/2018,Cordoba,32.1108,Dolar,1
11/11/2018,Cordoba,32.1151,Dolar,1
11/12/2018,Cordoba,32.1194,Dolar,1
11/13/2018,Cordoba,32.1237,Dolar,1
11/14/2018,Cordoba,32.128,Dolar,1
11/15/2018,Cordoba,32.1323,Dolar,1
11/16/2018,Cordoba,32.1366,Dolar,1
11/17/2018,Cordoba,32.1409,Dolar,1
11/18/2018,Cordoba,32.1452,Dolar,1
11/19/2018,Cordoba,32.1495,Dolar,1
11/20/2018,Cordoba,32.1538,Dolar,1
11/21/2018,Cordoba,32.1581,Dolar,1
11/22/2018,Cordoba,32.1624,Dolar,1
11/23/2018,Cordoba,32.1667,Dolar,1
11/24/2018,Cordoba,32.171,Dolar,1
11/25/2018,Cordoba,32.1753,Dolar,1
11/26/2018,Cordoba,32.1796,Dolar,1
11/27/2018,Cordoba,32.1839,Dolar,1
11/28/2018,Cordoba,32.1882,Dolar,1
11/29/2018,Cordoba,32.1925,Dolar,1
11/30/2018,Cordoba,32.1968,Dolar,1
