FECHA,MONEDA_LOCAL,TASA_DE_CAMBIO,MONEDA_EXTRANJERA,TIPO
01/01/2019,Cordoba,32.3348,Dolar,1
01/02/2019,Cordoba,32.3391,Dolar,1
01/03/2019,Cordoba,32.3434,Dolar,1
01/04/2019,Cordoba,32.3478,Dolar,1
01/05/2019,Cordoba,32.3521,Dolar,1
01/06/2019,Cordoba,32.3564,Dolar,1
01/07/2019,Cordoba,32.3607,Dolar,1
01/08/2019,Cordoba,32.3651,Dolar,1
01/09/2019,Cordoba,32.3694,Dolar,1
01/10/2019,Cordoba,32.3737,Dolar,1
01/11/2019,Cordoba,32.378,Dolar,1
01/12/2019,Cordoba,32.3824,Dolar,1
01/13/2019,Cordoba,32.3867,Dolar,1
01/14/2019,Cordoba,32.391,Dolar,1
01/15/2019,Cordoba,32.3954,Dolar,1
01/16/2019,Cordoba,32.3997,Dolar,1
01/17/2019,Cordoba,32.404,Dolar,1
01/18/2019,Cordoba,32.4084,Dolar,1
01/19/2019,Cordoba,32.4127,Dolar,1
01/20/2019,Cordoba,32.417,Dolar,1
01/21/2019,Cordoba,32.4214,Dolar,1
01/22/2019,Cordoba,32.4257,Dolar,1
01/23/2019,Cordoba,32.43,Dolar,1
01/24/2019,Cordoba,32.4344,Dolar,1
01/25/2019,Cordoba,32.4387,Dolar,1
01/26/2019,Cordoba,32.443,Dolar,1
01/27/2019,Cordoba,32.4474,Dolar,1
01/28/2019,Cordoba,32.4517,Dolar,1
01/29/2019,Cordoba,32.456,Dolar,1
01/30/2019,Cordoba,32.4604,Dolar,1
01/31/2019,Cordoba,32.4647,Dolar,1
