FECHA,MONEDA_LOCAL,TASA_DE_CAMBIO,MONEDA_EXTRANJERA,TIPO
08/01/2021,Cordoba,35.2292,Dolar,1
08/02/2021,Cordoba,35.2311,Dolar,1
08/03/2021,Cordoba,35.2331,Dolar,1
08/04/2021,Cordoba,35.235,Dolar,1
08/05/2021,Cordoba,35.2369,Dolar,1
08/06/2021,Cordoba,35.2388,Dolar,1
08/07/2021,Cordoba,35.2407,Dolar,1
08/08/2021,Cordoba,35.2426,Dolar,1
08/09/2021,Cordoba,35.2445,Dolar,1
08/10/2021,Cordoba,35.2464,Dolar,1
08/11/2021,Cordoba,35.2483,Dolar,1
08/12/2021,Cordoba,35.2503,Dolar,1
08/13/2021,Cordoba,35.2522,Dolar,1
08/14/2021,Cordoba,35.2541,Dolar,1
08/15/2021,Cordoba,35.256,Dolar,1
08/16/2021,Cordoba,35.2579,Dolar,1
08/17/2021,Cordoba,35.2598,Dolar,1
08/18/2021,Cordoba,35.2617,Dolar,1
08/19/2021,Cordoba,35.2636,Dolar,1
08/20/2021,Cordoba,35.2656,Dolar,1
08/21/2021,Cordoba,35.2675,Dolar,1
08/22/2021,Cordoba,35.2694,Dolar,1
08/23/2021,Cordoba,35.2713,Dolar,1
08/24/2021,Cordoba,35.2732,Dolar,1
08/25/2021,Cordoba,35.2751,Dolar,1
08/26/2021,Cordoba,35.277,Dolar,1
08/27/2021,Cordoba,35.279,Dolar,1
08/28/2021,Cordoba,35.2809,Dolar,1
08/29/2021,Cordoba,35.2828,Dolar,1
08/30/2021,Cordoba,35.2847,Dolar,1
08/31/2021,Cordoba,35.2866,Dolar,1
