FECHA,MONEDA_LOCAL,TASA_DE_CAMBIO,MONEDA_EXTRANJERA,TIPO
06/01/2019,Cordoba,32.9941,Dolar,1
06/02/2019,Cordoba,32.9985,Dolar,1
06/03/2019,Cordoba,33.0029,Dolar,1
06/04/2019,Cordoba,33.0073,Dolar,1
06/05/2019,Cordoba,33.0117,Dolar,1
06/06/2019,Cordoba,33.0161,Dolar,1
06/07/2019,Cordoba,33.0206,Dolar,1
06/08/2019,Cordoba,33.025,Dolar,1
06/09/2019,Cordoba,33.0294,Dolar,1
06/10/2019,Cordoba,33.0338,Dolar,1
06/11/2019,Cordoba,33.0382,Dolar,1
06/12/2019,Cordoba,33.0426,Dolar,1
06/13/2019,Cordoba,33.047,Dolar,1
06/14/2019,Cordoba,33.0515,Dolar,1
06/15/2019,Cordoba,33.0559,Dolar,1
06/16/2019,Cordoba,33.0603,Dolar,1
06/17/2019,Cordoba,33.0647,Dolar,1
06/18/2019,Cordoba,33.0691,Dolar,1
06/19/2019,Cordoba,33.0736,Dolar,1
06/20/2019,Cordoba,33.078,Dolar,1
06/21/2019,Cordoba,33.0824,Dolar,1
06/22/2019,Cordoba,33.0868,Dolar,1
06/23/2019,Cordoba,33.0913,Dolar,1
06/24/2019,Cordoba,33.0957,Dolar,1
06/25/2019,Cordoba,33.1001,Dolar,1
06/26/2019,Cordoba,33.1045,Dolar,1
06/27/2019,Cordoba,33.109,Dolar,1
06/28/2019,Cordoba,33.1134,Dolar,1
06/29/2019,Cordoba,33.1178,Dolar,1
06/30/2019,Cordoba,33.1222,Dolar,1
