FECHA,MONEDA_LOCAL,TASA_DE_CAMBIO,MONEDA_EXTRANJERA,TIPO
02/01/2019,Cordoba,32.4691,Dolar,1
02/02/2019,Cordoba,32.4734,Dolar,1
02/03/2019,Cordoba,32.4777,Dolar,1
02/04/2019,Cordoba,32.4821,Dolar,1
02/05/2019,Cordoba,32.4864,Dolar,1
02/06/2019,Cordoba,32.4908,Dolar,1
02/07/2019,Cordoba,32.4951,Dolar,1
02/08/2019,Cordoba,32.4995,Dolar,1
02/09/2019,Cordoba,32.5038,Dolar,1
02/10/2019,Cordoba,32.5081,Dolar,1
02/11/2019,Cordoba,32.5125,Dolar,1
02/12/2019,Cordoba,32.5168,Dolar,1
02/13/2019,Cordoba,32.5212,Dolar,1
02/14/2019,Cordoba,32.5255,Dolar,1
02/15/2019,Cordoba,32.5299,Dolar,1
02/16/2019,Cordoba,32.5342,Dolar,1
02/17/2019,Cordoba,32.5386,Dolar,1
02/18/2019,Cordoba,32.5429,Dolar,1
02/19/2019,Cordoba,32.5473,Dolar,1
02/20/2019,Cordoba,32.5516,Dolar,1
02/21/2019,Cordoba,32.556,Dolar,1
02/22/2019,Cordoba,32.5603,Dolar,1
02/23/2019,Cordoba,32.5647,Dolar,1
02/24/2019,Cordoba,32.569,Dolar,1
02/25/2019,Cordoba,32.5734,Dolar,1
02/26/2019,Cordoba,32.5777,Dolar,1
02/27/2019,Cordoba,32.5821,Dolar,1
02/28/2019,Cordoba,32.5865,Dolar,1
