FECHA,MONEDA_LOCAL,TASA_DE_CAMBIO,MONEDA_EXTRANJERA,TIPO
10/1/2021,Cordoba,35.346,Dolar,1
10/2/2021,Cordoba,35.3479,Dolar,1
10/3/2021,Cordoba,35.3498,Dolar,1
10/4/2021,Cordoba,35.3518,Dolar,1
10/5/2021,Cordoba,35.3537,Dolar,1
10/6/2021,Cordoba,35.3556,Dolar,1
10/7/2021,Cordoba,35.3575,Dolar,1
10/8/2021,Cordoba,35.3594,Dolar,1
10/9/2021,Cordoba,35.3614,Dolar,1
10/10/2021,Cordoba,35.3633,Dolar,1
10/11/2021,Cordoba,35.3652,Dolar,1
10/12/2021,Cordoba,35.3671,Dolar,1
10/13/2021,Cordoba,35.369,Dolar,1
10/14/2021,Cordoba,35.371,Dolar,1
10/15/2021,Cordoba,35.3729,Dolar,1
10/16/2021,Cordoba,35.3748,Dolar,1
10/17/2021,Cordoba,35.3767,Dolar,1
10/18/2021,Cordoba,35.3786,Dolar,1
10/19/2021,Cordoba,35.3805,Dolar,1
10/20/2021,Cordoba,35.3825,Dolar,1
10/21/2021,Cordoba,35.3844,Dolar,1
10/22/2021,Cordoba,35.3863,Dolar,1
10/23/2021,Cordoba,35.3882,Dolar,1
10/24/2021,Cordoba,35.3901,Dolar,1
10/25/2021,Cordoba,35.3921,Dolar,1
10/26/2021,Cordoba,35.394,Dolar,1
10/27/2021,Cordoba,35.3959,Dolar,1
10/28/2021,Cordoba,35.3978,Dolar,1
10/29/2021,Cordoba,35.3997,Dolar,1
10/30/2021,Cordoba,35.4017,Dolar,1
10/31/2021,Cordoba,35.4036,Dolar,1
